id,name,asins,brand,categories,keys,manufacturer,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,clean_text,topic_id,topic_label
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2017-03-27T00:00:00.000Z,2017-04-03T19:17:52Z,"2017-03-31T09:29:00.000Z,2017-04-30T00:41:00.000Z,2017-06-07T09:03:00.000Z",,True,,0.0,4.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=21,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=54","It's a good starter tablet, to bad it runs on the Amazon OS.",Good for the price,,,darkangel1010,it s a good starter tablet to bad it runs on the amazon os,2,Longevity/Smudge-Proof
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2016-12-23T00:00:00.000Z,2017-03-10T06:27:42Z,"2017-03-09T19:47:00.000Z,2017-04-30T00:44:00.000Z,2017-06-07T09:04:00.000Z",,True,,0.0,3.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=199,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=248,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=282",Good starter unit. Easy for a beginner to use. Priced low to give you a taste of the tablet world.,Ok for the price,,,gdallen58,good starter unit easy for a beginner to use priced low to give you a taste of the tablet world,2,Longevity/Smudge-Proof
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2016-12-24T00:00:00.000Z,2017-03-10T06:27:42Z,"2017-03-09T19:47:00.000Z,2017-04-30T00:44:00.000Z,2017-06-07T09:04:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=198,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=247,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=280",I bought these as a starter online browser. It is a very portable pad . Great price.,Great little online browser for the price,,,Sparky,i bought these as a starter online browser it is a very portable pad great price,2,Longevity/Smudge-Proof
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2017-02-17T00:00:00.000Z,2017-05-21T05:56:00Z,"2017-04-30T00:42:00.000Z,2017-06-07T09:03:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=67,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=100","And she has been happy about it ever since. Not being that tech saavy, this specific device has a user-friendly tutorial to help get started.",Purchased for Mother as a present,,,Loops,and she has been happy about it ever since not being that tech saavy this specific device has a user friendly tutorial to help get started,5,Packaging/Delivery
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2017-02-01T00:00:00.000Z,2017-05-21T05:56:25Z,"2017-04-30T00:42:00.000Z,2017-06-07T09:04:00.000Z",,False,,0.0,3.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=93,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=126","I have had every version of the Kindle since the week it was introduced and jumped at the chance for a Kindle Fire. I replaced the first one I had in 2014 and it was everything I wanted except this past summer it started overheating and got nonresponsive in the midday heat. So...I got this one. First of all I miss Swype. WHY get rid of it? Secondly I cannot put two of my favorite apps (which work on my old one) to work on this but lastly and most importantly: every once in awhile the screen freezes with a bunch of code ""shimmering"" in the background and only turning it off and/or leaving it for awhile brings it back to life AND it turns itself off. It seems to happen when I close a program and move to a new one. Aggravating and not what I expect from a product with which I have been happy in the past.",Not ad happy with this one by far,,,Lisa,i have had every version of the kindle since the week it was introduced and jumped at the chance for a kindle fire i replaced the first one i had in 2014 and it was everything i wanted except this past summer it started overheating and got nonresponsive in the midday heat so i got this one first of all i miss swype why get rid of it secondly i cannot put two of my favorite apps which work on my old one to work on this but lastly and most importantly every once in awhile the screen freezes with a bunch of code shimmering in the background and only turning it off and or leaving it for awhile brings it back to life and it turns itself off it seems to happen when i close a program and move to a new one aggravating and not what i expect from a product with which i have been happy in the past,4,Scent/Fragrance
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2017-01-30T00:00:00.000Z,2017-05-21T05:56:29Z,"2017-04-30T00:42:00.000Z,2017-06-07T09:04:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=97,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=130","I love this tablet because of its user friendly interface. It reminds me of a starter tablet for kids, without being too much of a dull product.",Super User Friendly,,,Jlfitzge84,i love this tablet because of its user friendly interface it reminds me of a starter tablet for kids without being too much of a dull product,2,Longevity/Smudge-Proof
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2016-12-30T00:00:00.000Z,2017-05-21T05:59:52Z,"2017-04-30T00:43:00.000Z,2017-06-07T09:03:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=223,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=256",Purchased this Kindle Fire HD8 from Best Buy. My fiancé downloaded her first book. She already started reading and said it is really cool to use. She said it is easy to see and navigate.,Like our Kindle Fire,,,jlt721,purchased this kindle fire hd8 from best buy my fianc downloaded her first book she already started reading and said it is really cool to use she said it is easy to see and navigate,0,Hydration/Moisture
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2016-12-29T00:00:00.000Z,2017-05-21T05:59:56Z,"2017-04-30T00:44:00.000Z,2017-06-07T09:03:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=227,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=261",Bought for a 6 years old she loves it and is always on it great starter tablet,Great for kids,,,virgie,bought for a 6 years old she loves it and is always on it great starter tablet,2,Longevity/Smudge-Proof
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2016-12-27T00:00:00.000Z,2017-05-21T06:00:00Z,"2017-04-30T00:44:00.000Z,2017-06-07T09:03:00.000Z",,True,,0.0,4.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=231,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=264",Enjoy the pad and its options. Its a great starter pad for kids.,Nice pad,,,JRch,enjoy the pad and its options its a great starter pad for kids,2,Longevity/Smudge-Proof
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",B01AHB9CN2,Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets","841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,2016-12-26T00:00:00.000Z,2017-05-21T06:00:03Z,"2017-04-30T00:44:00.000Z,2017-06-07T09:03:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=235,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=268","I purchased this item for my son as a Christmas gift. His eyes lit up as he unwrapped it on Christmas morning. Later in the day, his older cousin had to call me and verify if he had truely received this item as a Christmas gift... I also plan on taking Best Buy up on their e - mailed offer that I received, which states that I can receive free start up service to get me started with my tech purchase.",Makes a great gift.,,,Tee1,i purchased this item for my son as a christmas gift his eyes lit up as he unwrapped it on christmas morning later in the day his older cousin had to call me and verify if he had truely received this item as a christmas gift i also plan on taking best buy up on their e mailed offer that i received which states that i can receive free start up service to get me started with my tech purchase,2,Longevity/Smudge-Proof
